gpu_temp,gpu_power,gpu_GRAM,gpu_util,CPU_Avg_Temp,CPU_Avg_Util
30,6,0.0,0,31.05,5.2625
30,6,0.0,0,32.2,5.7
30,21,0.4336,0,32.45,2.52
31,22,4.4804,4,32.8,2.475
32,47,25.5551,100,32.6,1.99
33,46,25.5551,100,33.0,2.66
33,52,25.5551,100,33.45,2.535
34,49,25.5551,100,33.0,1.755
34,46,25.5551,100,33.2,2.48
35,54,25.5551,100,33.4,2.6
35,51,25.5551,100,33.1,1.7825
36,49,25.5551,100,33.75,2.48
36,47,25.5551,100,33.8,2.6175
37,47,25.5551,100,33.55,2.075
37,54,25.5551,100,33.65,2.1625
38,51,25.5551,100,33.65,2.6175
38,49,25.5551,100,34.25,2.43
39,47,25.5551,100,33.85,1.8925
39,52,25.5551,100,34.1,2.515
39,54,25.5551,100,34.05,2.4375
40,52,25.5551,100,33.75,1.81
40,49,25.5551,100,34.3,2.645
41,47,25.5551,100,34.6,2.55
41,49,25.5551,100,34.3,1.8575
41,54,25.5551,100,34.4,2.435
41,49,25.5551,100,34.7,2.63
42,47,25.5551,100,34.7,1.995
42,54,25.5551,100,34.5,2.1625
42,49,25.5551,100,34.6,2.515
43,47,25.5551,100,35.1,2.3175
43,52,25.5551,100,34.75,1.8575
43,53,25.5551,100,34.75,2.695
44,51,25.5551,100,35.25,2.265
44,48,25.5551,100,35.05,1.645
44,47,25.5551,100,35.2,2.4275
44,54,25.5551,100,35.3,2.48
45,52,25.5551,100,35.45,1.905
45,50,25.5551,100,35.25,2.47
45,47,25.5551,100,35.3,2.785
45,47,25.5551,100,35.4,2.13
46,54,25.5551,100,35.25,2.1075
46,48,25.5551,100,35.65,2.65
46,47,25.5551,100,35.9,2.3275
46,51,25.5551,100,35.75,1.9075
46,48,25.5551,100,35.45,2.555
47,54,25.5551,100,36.0,2.3775
47,53,25.5551,100,35.75,1.85
47,50,25.5551,100,35.55,2.84
47,48,25.5551,100,35.95,2.5275
47,48,25.5551,100,35.9,1.8425
48,51,25.5551,100,35.85,2.3425
48,54,25.5551,100,35.85,2.6825
48,51,25.5551,100,36.25,2.2025
48,48,25.5551,100,35.8,2.29
48,47,25.5551,100,35.85,2.5025
49,50,25.5551,100,36.6,2.43
49,53,25.5551,100,36.1,2.005
49,48,25.5551,100,36.3,2.73
49,50,25.5551,100,36.4,2.5175
49,50,25.5551,100,36.65,1.645
49,48,25.5551,100,36.3,2.535
49,51,25.5551,100,36.5,2.7275
50,52,25.5551,100,36.6,1.9825
50,49,25.5551,100,36.55,2.36
50,48,25.5551,100,36.75,2.63
50,52,25.5551,100,36.8,2.2725
50,55,25.5551,100,36.4,2.085
50,53,25.5551,100,36.85,2.6225
50,50,25.5551,100,37.25,2.41
51,48,25.5551,100,36.6,1.8975
51,54,25.5551,100,36.9,2.4975
51,54,25.5551,100,37.1,2.4025
51,52,25.5551,100,37.15,1.9325
51,50,25.5551,100,36.9,2.55
51,48,25.5551,100,36.9,2.7425
51,55,25.5551,100,37.0,1.6825
51,48,25.5551,100,36.9,2.6825
52,53,25.5551,100,37.1,2.61
52,54,25.5551,100,37.25,1.9825
52,51,25.5551,100,37.0,2.28
52,48,25.5551,100,37.15,2.47
52,51,25.5551,100,37.15,2.375
52,52,25.5551,100,37.2,2.0075
52,48,25.5551,100,36.95,2.56
52,51,25.5551,100,37.3,2.4025
52,48,25.5551,100,37.45,1.8325
52,55,25.5551,100,37.3,2.615
52,52,25.5551,100,37.8,2.725
52,49,25.5551,100,37.5,2.79
53,48,25.5551,100,37.15,2.585
53,53,25.5551,100,37.4,2.6225
53,55,25.5551,100,37.7,2.06
53,51,25.5551,100,37.6,2.3825
53,48,25.5551,100,37.2,2.4675
53,48,25.5551,100,37.9,2.255
53,53,25.5551,100,37.65,1.93
53,50,25.5551,100,37.65,2.6825
53,48,25.5551,100,37.65,2.355
53,52,25.5551,100,37.85,1.7675
54,50,25.5551,100,37.9,2.655
54,48,25.5551,100,37.85,2.62
54,52,25.5551,100,38.05,1.865
54,55,25.5551,100,37.75,2.48
54,53,25.5551,100,37.6,2.63
54,51,25.5551,100,37.95,2.0875
54,49,25.5551,100,38.05,2.125
54,47,25.5551,100,37.85,2.6675
54,55,25.5551,100,38.15,2.375
54,53,25.5551,100,37.95,1.835
54,51,25.5551,100,37.9,2.6875
54,49,25.5551,100,37.75,2.5975
54,49,25.5551,100,38.15,1.735
54,52,25.5551,100,37.75,2.855
54,51,25.5551,100,37.9,2.74
54,49,25.5551,100,38.5,1.865
54,47,25.5551,100,38.2,2.445
54,54,25.5551,100,38.1,2.7025
55,53,25.5551,100,38.1,2.1625
54,51,25.5551,100,38.4,2.1775
55,49,25.5551,100,37.9,2.6225
55,48,25.5551,100,37.8,2.3275
55,52,25.5551,100,38.3,2.055
55,54,25.5551,100,38.1,2.7925
55,49,25.5551,100,38.15,2.3825
55,52,25.5551,100,39.25,1.71
55,50,25.5551,100,38.55,2.365
55,49,25.5551,100,38.4,2.6175
55,52,25.5551,100,38.25,1.7575
55,50,25.5551,100,38.35,2.2375
55,49,25.5551,100,38.55,2.5875
55,54,25.5551,100,38.1,1.9875
55,54,25.5551,100,38.6,2.085
55,51,25.5551,100,38.2,2.5275
55,48,25.5551,100,38.2,2.355
56,50,25.5551,100,38.8,1.955
55,50,25.5551,100,38.45,2.68
56,48,25.5551,100,38.3,2.4725
56,52,25.5551,100,38.45,1.815
56,49,25.5551,100,38.9,2.55
56,48,25.5551,100,38.35,2.56
56,55,25.5551,100,38.6,1.8575
56,52,25.5551,100,39.0,2.3825
56,50,25.5551,100,38.2,2.5375
56,48,25.5551,100,38.45,2.185
56,54,25.5551,100,38.9,1.9325
56,53,25.5551,100,38.55,2.595
56,49,25.5551,100,38.65,2.29
56,50,25.5551,100,38.85,1.8575
56,50,25.5551,100,39.0,2.505
56,48,25.5551,100,38.65,2.37
56,52,25.5551,100,38.85,1.695
56,50,25.5551,100,38.85,2.55
56,48,25.5551,100,38.5,2.81
56,55,25.5551,100,38.7,1.9275
56,53,25.5551,100,38.8,2.18
56,51,25.5551,100,38.85,2.645
56,48,25.5551,100,38.7,2.2725
56,52,25.5551,100,39.1,1.825
56,53,25.5551,100,39.05,2.4625
56,48,25.5551,100,38.8,2.385
56,50,25.5551,100,38.85,1.8225
56,51,25.5551,100,39.15,2.685
56,48,25.5551,100,38.85,2.8775
56,52,25.5551,100,38.95,1.725
57,50,25.5551,100,39.1,2.6525
57,48,25.5551,100,38.8,2.53
57,51,25.5551,100,38.85,2.025
57,54,25.5551,100,39.4,2.165
57,51,25.5551,100,38.95,2.8225
57,48,25.5551,100,38.95,2.19
57,53,25.5551,100,39.2,1.92
57,54,25.5551,100,39.1,2.575
57,48,25.5551,100,38.85,2.42
57,51,25.5551,100,38.75,1.8425
57,53,25.5551,100,39.1,2.4225
57,51,25.5551,100,38.9,2.6225
57,50,25.5551,100,38.75,1.855
57,48,25.5551,100,39.3,2.445
57,51,25.5551,100,38.85,2.6575
57,54,25.5551,100,39.0,2.11
57,51,25.5551,100,39.5,2.0625
57,48,25.5551,100,39.3,2.5
57,49,25.5551,100,38.95,2.18
57,54,25.5551,100,39.2,1.945
57,48,25.5551,100,39.1,2.5775
57,52,25.5551,100,39.3,2.6
57,50,25.5551,100,39.3,1.6675
57,48,25.5551,100,39.35,2.455
57,54,25.5551,100,39.2,2.535
57,51,25.5551,100,39.1,1.905
57,49,25.5551,100,39.2,2.3725
57,51,25.5551,100,39.15,2.6525
57,54,25.5551,100,39.3,2.055
57,54,25.5551,100,39.4,2.18
57,51,25.5551,100,39.4,2.6875
57,48,25.5551,100,39.35,2.4025
57,54,25.5551,100,39.25,2.0325
57,50,25.5551,100,39.35,2.7725
57,48,25.5551,100,39.1,2.28
58,54,25.5551,100,39.0,1.745
57,49,25.5551,100,39.6,2.48
57,48,25.5551,100,39.35,2.7175
58,55,25.5551,100,39.3,1.815
58,54,25.5551,100,39.65,2.31
58,51,25.5551,100,39.55,2.4025
58,48,25.5551,100,39.5,2.2025
58,52,25.5551,100,39.8,2.255
58,54,25.5551,100,39.8,2.6225
58,48,25.5551,100,39.6,2.3275
58,52,25.5551,100,39.55,1.7925
58,51,25.5551,100,39.85,2.8
58,49,25.5551,100,39.2,2.5275
58,48,25.5551,100,39.4,1.815
58,56,25.5551,100,39.9,2.69
58,54,25.5551,100,39.6,2.6525
58,51,25.5551,100,39.2,1.6425
58,48,25.5551,100,39.55,2.18
58,53,25.5551,100,39.4,2.7325
58,54,25.5551,100,39.25,2.045
58,48,25.5551,100,39.15,2.1475
58,50,25.5551,100,39.6,2.685
58,51,25.5551,100,39.55,2.2575
58,49,25.5551,100,39.7,1.8825
58,52,25.5551,100,39.8,2.565
58,50,25.5551,100,39.6,2.455
58,48,25.5551,100,39.5,1.8575
58,54,25.5551,100,39.55,2.68
58,54,25.5551,100,39.7,2.5275
58,51,25.5551,100,39.5,1.825
58,48,25.5551,100,39.45,2.3275
58,53,25.5551,100,39.75,2.6275
58,53,25.5551,100,39.5,2.175
58,48,25.5551,100,39.45,2.04
58,54,25.5551,100,39.85,2.695
58,50,25.5551,100,39.6,2.4575
58,48,25.5551,100,39.8,2.1825
58,51,25.5551,100,39.65,2.51
58,48,25.5551,100,39.85,2.475
58,53,25.5551,100,39.55,1.635
